,1,2,3,4,5,6,7,8,9,10,11,12
APP,23,3,2,0,0,0,0,0,0,0,0,0
HIL,0,0,0,0,0,1,3,3,7,8,5,1
MOO,0,0,0,0,0,1,0,4,9,8,4,2
NAC,0,0,0,0,0,0,1,1,6,8,12,0
NEW,0,0,0,2,10,12,1,3,0,0,0,0
PBM,0,2,6,9,8,1,2,0,0,0,0,0
PBZ,0,0,2,3,5,6,9,1,1,0,0,1
PBS,0,16,9,2,0,1,0,0,0,0,0,0
SND,0,0,0,0,0,0,0,0,1,1,2,24
SPI,0,0,0,0,0,0,0,16,4,3,5,0
SQR,5,3,6,9,3,1,1,0,0,0,0,0
STR,0,4,3,3,2,5,11,0,0,0,0,0
